dataset,model_set,method,sync,avg,accuracy,auc,log_loss
breast_cancer,diverse,Bagging,True,N/A,0.9771528998242531,0.994662015749696,0.0848661971096775
breast_cancer,diverse,Stacking,True,True,0.9789103690685413,0.9915305744939484,0.07361527993977804
breast_cancer,diverse,Stacking,True,False,0.9789103690685413,0.9914380846678293,0.07397900328758429
breast_cancer,diverse,Bagging,False,N/A,0.9753954305799648,0.9951376777125944,0.08354420646192583
breast_cancer,diverse,Stacking,False,True,0.9771528998242531,0.991953385127636,0.07138681752665277
breast_cancer,diverse,Stacking,False,False,0.9771528998242531,0.9919269594630304,0.07082935181064415
wine,diverse,Bagging,True,N/A,0.9887640449438202,0.9997615314862255,0.082957697216147
wine,diverse,Stacking,True,True,0.9887640449438202,0.9997176545172465,0.03640594695392596
wine,diverse,Stacking,True,False,0.9887640449438202,0.9997176545172465,0.03580700088874269
wine,diverse,Bagging,False,N/A,0.9831460674157303,0.9998054084552045,0.08647094065346392
wine,diverse,Stacking,False,True,0.9775280898876404,0.9996299005792885,0.04185300694074685
wine,diverse,Stacking,False,False,0.9775280898876404,0.9996299005792885,0.04195461040493602
digits,diverse,Bagging,True,N/A,0.986644407345576,0.9997843970732943,0.12603951263950075
digits,diverse,Stacking,True,True,0.988313856427379,0.9996607903417416,0.049562058373221946
digits,diverse,Stacking,True,False,0.9877573734001113,0.9996684085094417,0.04900220676785566
digits,diverse,Bagging,False,N/A,0.986644407345576,0.9997754264972245,0.1274942666845647
digits,diverse,Stacking,False,True,0.9872008903728436,0.9996541265408121,0.04922678135453139
digits,diverse,Stacking,False,False,0.9877573734001113,0.9996863759291627,0.04823126741749331
iris,diverse,Bagging,True,N/A,0.96,0.9971333333333333,0.11304283393163068
iris,diverse,Stacking,True,True,0.96,0.9970666666666667,0.0932627368483915
iris,diverse,Stacking,True,False,0.96,0.9969333333333333,0.09284125709192786
iris,diverse,Bagging,False,N/A,0.96,0.9973333333333333,0.11150805582991846
iris,diverse,Stacking,False,True,0.9533333333333334,0.9975333333333333,0.08659697224122766
iris,diverse,Stacking,False,False,0.9533333333333334,0.9968666666666667,0.09041633857942809
breast_cancer,trees,Bagging,True,N/A,0.9648506151142355,0.9922440674382961,0.10395884131780259
breast_cancer,trees,Stacking,True,True,0.9630931458699473,0.9888483695364938,0.10001365361932638
breast_cancer,trees,Stacking,True,False,0.961335676625659,0.9888615823687966,0.09903559267802296
breast_cancer,trees,Bagging,False,N/A,0.9648506151142355,0.9930236245441573,0.10042701444761856
breast_cancer,trees,Stacking,False,True,0.9666080843585237,0.98849162306432,0.0935811750469263
breast_cancer,trees,Stacking,False,False,0.968365553602812,0.9886105385550447,0.0931650417395661
wine,trees,Bagging,True,N/A,0.9831460674157303,0.9989904254720753,0.1185674811096333
wine,trees,Stacking,True,True,0.9831460674157303,0.999173132645565,0.0499389656475198
wine,trees,Stacking,True,False,0.9831460674157303,0.9989880829352091,0.05256544083400711
wine,trees,Bagging,False,N/A,0.9831460674157303,0.9991695329967781,0.11874316138036191
wine,trees,Stacking,False,True,0.9775280898876404,0.9991886166656577,0.050855805989885663
wine,trees,Stacking,False,False,0.9887640449438202,0.9992324936346367,0.04956118326247595
digits,trees,Bagging,True,N/A,0.9799666110183639,0.9996796267048982,0.21017265800625515
digits,trees,Stacking,True,True,0.9844184752365053,0.9997105911041648,0.057140212740503564
digits,trees,Stacking,True,False,0.9844184752365053,0.9996995022150934,0.0585661377994194
digits,trees,Bagging,False,N/A,0.9771841958820257,0.9996873160306837,0.20920633031901392
digits,trees,Stacking,False,True,0.9844184752365053,0.999684538823875,0.056544714577342704
digits,trees,Stacking,False,False,0.9844184752365053,0.9996928360533239,0.057089417241221574
iris,trees,Bagging,True,N/A,0.96,0.9959333333333333,0.10640569039715311
iris,trees,Stacking,True,True,0.9533333333333334,0.9940000000000001,0.14118253376973938
iris,trees,Stacking,True,False,0.94,0.9940000000000001,0.1402244680728892
iris,trees,Bagging,False,N/A,0.96,0.9965333333333334,0.10385669802555987
iris,trees,Stacking,False,True,0.94,0.9920666666666667,0.15350030713892626
iris,trees,Stacking,False,False,0.9466666666666667,0.9918,0.14170364251912304
